"Active","Aktiv"
"Address Attribute","Adressattribut"
"Conditions","Bedingungen"
"Custom Attribute","Spezielles Attribut"
"Customer Attribute","Kundenattribut"
"General","Allgemein"
"Manage Rules","Regeln verwalten"
"Operator","Operator"
"Payment > Rule > Conditions","Zahlarten > Regel > Bedingungen"
"Payment > Rules","Zahlarten > Regeln"
"Payment Rules","Zahlarten Regeln"
"Permission","Erlaubnis"
"Restriction","Einschränkung"
"The condition has been created.","Die Bedingung wurde erfolgreich angelegt."
"The rule has been created.","Die Regel wurde erfolgreich angelegt."
"The condition has been deleted.","Die Bedingung wurde erfolgreich gelöscht."
"The rule has been deleted.","Die Regel wurde erfolgreich gelöscht."
"The condition has been updated.","Die Bedingung wurde erfolgreich aktualisiert."
"The rule has been updated.","Die Regel wurde erfolgreich aktualisiert."
"This payment method is not allowed.","Diese Zahlart ist nicht erlaubt."
"Type","Typ"
"Unable to find the condition with id: %s!","Konnte Bedingung mit Id: %s nicht finden"
"Unable to find the rule with id: %s!","Konnte Regel mit Id: %s nicht finden"
"Value","Wert"
"%d condition(s) have been deleted.","%d" Bedingung(en) wurden erfolgreich gelöscht."
"%d rule(s) have been deleted.","%d" Regel(n) wurden erfolgreich gelöscht."
